time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Event
24:40.,52,2.6,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.02604675,0.1514435,-0.6399231,18.88898,11.67307,-31.00897,288.5189,297.8507,10,0.03490845,-0.1788022,-0.3446181,-2.901713,-0.006978987,-0.0820995,0.5898353,-0.2184048,-0.3292508,-0.01878615,0.01500808,0.002619421,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:40.,53,2.65,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.05613708,-0.001342773,-0.9889069,18.29552,11.08176,-31.58289,290.0001,299.3319,10,0.83193,0.02914537,-0.3699229,-2.917349,-0.01339996,-0.0610269,0.8294516,-0.0397461,-0.3854593,0.08457213,0.03512608,-0.2494945,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:40.,54,2.7,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.05064392,-0.1938019,-0.944519,17.63222,10.49039,-32.29187,292.076,301.4078,10,0.5036168,0.1297279,-0.496756,-2.938075,-0.01236457,-0.01526367,0.6892077,0.09096361,-0.4400343,0.07071242,-0.1613355,0.009694776,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:40.,55,2.75,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1005859,-0.068573,-1.026169,16.79436,9.586029,-32.2243,293.6931,303.025,10,0.7365635,-0.06299788,-0.7313975,-2.963898,-0.008921997,0.008735611,0.6701151,0.01040334,-0.7056478,0.02941409,-0.1357652,0.01292253,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:40.,56,2.8,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.05290222,-0.2279968,-1.026108,16.86418,9.377319,-32.2243,295.882,305.2138,10,0.8536952,-0.1922579,-0.6153311,-3.002306,-0.01528718,0.05418021,0.9441223,-0.1495746,-0.6211607,0.1202599,-0.1800687,-0.03872396,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
